Web Search interest: migrant; refugee
Worldwide; Past 30 days

Interest over time
Day,migrant,refugee
2015-09-02,22,30
2015-09-03,56,84
2015-09-04,45,100
2015-09-05,34,81
2015-09-06,28,71
2015-09-07,28,71
2015-09-08,26,61
2015-09-09,27,72
2015-09-10,24,66
2015-09-11,21,54
2015-09-12,15,47
2015-09-13,20,46
2015-09-14,20,50
2015-09-15,19,46
2015-09-16,22,46
2015-09-17,21,51
2015-09-18,21,45
2015-09-19,15,34
2015-09-20,15,37
2015-09-21,14,38
2015-09-22,15,35
2015-09-23,14,32
2015-09-24,14,28
2015-09-25,11,23
2015-09-26,8,19
2015-09-27,10,21
2015-09-28,10,26
2015-09-29,0,0
2015-09-30, , 
2015-10-01, , 


Top regions for migrant
Region,migrant,refugee
France,100,0
United Kingdom,90,72
Canada,46,59
Australia,42,71
United States,26,26
Germany,0,11
Ireland,0,100
India,0,12
New Zealand,0,89
Philippines,0,36

Top regions for refugee
Region,migrant,refugee
Ireland,0,100
New Zealand,0,89
United Kingdom,90,72
Australia,42,71
Canada,46,59
Philippines,0,36
United States,26,26
India,0,12
Germany,0,11
France,100,0


Top cities for migrant
City,migrant
Paris (France),100
London (United Kingdom),80
Dublin (Ireland),73
Toronto (Canada),45
Singapore (Singapore),39
Sydney (Australia),35
Melbourne (Australia),33
New York (United States),32

Top cities for refugee
City,refugee
Ottawa (Canada),100
Dublin (Ireland),94
Auckland (New Zealand),94
London (United Kingdom),79
Vancouver (Canada),77
Toronto (Canada),76
Sydney (Australia),72
Melbourne (Australia),71
Calgary (Canada),71
Perth (Australia),70
Brisbane (Australia),62
Adelaide (Australia),62
Washington (United States),35
Quezon City (Philippines),34
New York (United States),31



Top searches for migrant
migrant crisis,100
migrant europe,30
migrants,25
europe migrant crisis,20
refugee,20
the migrant crisis,15
migrant news,15
migrant immigrant,15
immigrant,15
migrant workers,10
migrant definition,10
photo migrant,10
syrian migrant,10
european migrant crisis,10
enfant migrant,10
hungary migrant,5
migrant france,5
migrant boy,5
refugee crisis,5
bbc migrant crisis,5
syrian migrant crisis,5
eu migrant crisis,5
migrant child,5
migrant map,5
migrant calais,5
migrant mort,5
migrant emigrant,5
germany migrant crisis,5
hungary migrant crisis,5
migrant meaning,5
emigrant,5
migrant crisis uk,5
charlie hebdo migrant,5
charlie hebdo,5
migrant mother,5
refugee definition,5
migrant syrien,5
economic migrant,5


Top searches for refugee
refugee crisis,100
syrian refugee,65
refugees,45
syria,25
refugee syria,25
refugee europe,25
syrian crisis,20
syrian refugee crisis,20
syrian refugees,15
the refugee crisis,15
refugee news,15
refugee crisis europe,15
refugee camp,15
refugee germany,10
what is refugee,10
definition refugee,10
refugee boy,10
migrant,10
refugee in europe,10
refugee camps,10
syria crisis,10
syria refugee crisis,10
refugee isis,10
refugee canada,10
european refugee,10
refugee help,10
refugee child,5
google refugee,5
hungary refugee,5
hungary,5
asylum,5
refugee map,5
us refugee,5
refugee children,5
syria refugees,5
refugee meaning,5
european refugee crisis,5
refugee crisis news,5
refugee council,5
eu refugee,5
un refugee,5
refugee in germany,5
syrian refugee boy,5
syrian boy,5
immigrant,5
refuge,5
refugee crisis 2015,5
migrants,5
german refugee,5
refugee intake,5



Rising searches for migrant
photo migrant,Breakout
syrian migrant,Breakout
european migrant crisis,+250%
the migrant crisis,+250%
migrant crisis,+190%
europe migrant crisis,+160%
migrant europe,+140%
refugee,+120%
migrant news,+100%
migrants,+80%


Rising searches for refugee
syrian refugee crisis,+850%
syrian crisis,+750%
refugee crisis,+550%
the refugee crisis,+450%
syria,+400%
syrian refugee,+400%
syrian refugees,+400%
refugee syria,+350%
refugee crisis europe,+300%
refugee europe,+250%


This file was created using Google Trends.
